ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",_wp_page_template,country_region,health_authority,date,product_type,domain,url,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2643,"NMPA becomes the applicant for PIC/S",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/nmpa-becomes-the-applicant-for-pic-s/,,,,,,,,default,China,"National Medical Products Administration",20231109,Drug,Regulatory,https://english.nmpa.gov.cn/2023-11/09/c_937791.htm,publish,1,sagefrog,jillf@sagefrog.com,,,nmpa-becomes-the-applicant-for-pic-s,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2644,"Outcome of the Process – Public Consultation on proposed fees for Human Medicines, Compliance, Medical Devices and Veterinary Medicines for 2024",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/outcome-of-the-process-public-consultation-on-proposed-fees-for-human-medicines-compliance-medical-devices-and-veterinary-medicines-for-2024/,,,,,,,,default,Ireland,"Health Products Regulatory Authority",20231109,Drug,Regulatory,https://www.hpra.ie/docs/default-source/default-document-library/outcome-of-the-process—public-consultation-on-proposed-fees-for-2024.pdf?sfvrsn=4,publish,1,sagefrog,jillf@sagefrog.com,,,outcome-of-the-process-public-consultation-on-proposed-fees-for-human-medicines-compliance-medical-devices-and-veterinary-medicines-for-2024,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2645,"ANMAT and ANVISA signed the first Mutual Recognition agreement on certificates for Medical Products",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/anmat-and-anvisa-signed-the-first-mutual-recognition-agreement-on-certificates-for-medical-products/,,,,,,,,default,Brazil,"Brazilian Health Regulatory Agency",20231108,Drug,Regulatory,https://www.argentina.gob.ar/noticias/anmat-y-anvisa-firmaron-el-primer-acuerdo-de-reconocimiento-mutuo-en-certificados-para,publish,1,sagefrog,jillf@sagefrog.com,,,anmat-and-anvisa-signed-the-first-mutual-recognition-agreement-on-certificates-for-medical-products,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2646,"First electronic product information (ePI) published for selected human medicines",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/first-electronic-product-information-epi-published-for-selected-human-medicines/,,,,,,,,default,Europe,"European Medicines Agency",20231108,Drug,Labeling,https://www.ema.europa.eu/en/news/first-electronic-product-information-epi-published-selected-human-medicines,publish,1,sagefrog,jillf@sagefrog.com,,,first-electronic-product-information-epi-published-for-selected-human-medicines,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2647,"ICH adopts Q5A(R2) guideline on viral safety evaluation of biotechnology products and validation of analytical procedures Q2(R2)",,,"2024-06-27 16:11:51",regulatory,https://clinch.loc/regulatory/ich-adopts-q5ar2-guideline-on-viral-safety-evaluation-of-biotechnology-products-and-validation-of-analytical-procedures-q2r2/,,,,,,,,default,International,"International Council for Harmonisation Of Technical Requirements For Pharmaceuticals For Human Use",20231108,Drug,Regulatory,https://ich.org/pressrelease/press-release-ich-assembly-meeting-prague-czech-republic-octobernovember-2023,publish,1,sagefrog,jillf@sagefrog.com,,,ich-adopts-q5ar2-guideline-on-viral-safety-evaluation-of-biotechnology-products-and-validation-of-analytical-procedures-q2r2,,default,0,0,0,open,open,"2024-06-27 16:11:51"
2648,"International Recognition Procedure",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/international-recognition-procedure/,,,,,,,,default,UK,"Medicines and Healthcare products Regulatory Agency",20231106,Drug,Regulatory,https://www.gov.uk/government/publications/international-recognition-procedure/international-recognition-procedure,publish,1,sagefrog,jillf@sagefrog.com,,,international-recognition-procedure,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2649,"Process to Request a Review of FDA’s Decision Not to Issue Certain Export Certificates for Devices",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/process-to-request-a-review-of-fdas-decision-not-to-issue-certain-export-certificates-for-devices/,,,,,,,,default,USA,"Food and Drug Administration",20231103,"Medical Device",Regulatory,https://www.fda.gov/media/115432/download,publish,1,sagefrog,jillf@sagefrog.com,,,process-to-request-a-review-of-fdas-decision-not-to-issue-certain-export-certificates-for-devices,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2650,"Enforcement Policy for Clinical Electronic Thermometers",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/enforcement-policy-for-clinical-electronic-thermometers/,,,,,,,,default,USA,"Food and Drug Administration",20231103,"Medical Device",Regulatory,https://www.fda.gov/media/136698/download,publish,1,sagefrog,jillf@sagefrog.com,,,enforcement-policy-for-clinical-electronic-thermometers,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2651,"Enforcement Policy for Certain Supplements for Approved Premarket Approval (PMA) or Humanitarian Device Exemption (HDE) Submissions",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/enforcement-policy-for-certain-supplements-for-approved-premarket-approval-pma-or-humanitarian-device-exemption-hde-submissions/,,,,,,,,default,USA,"Food and Drug Administration",20231102,"Medical Device",Regulatory,https://www.fda.gov/media/138265/download,publish,1,sagefrog,jillf@sagefrog.com,,,enforcement-policy-for-certain-supplements-for-approved-premarket-approval-pma-or-humanitarian-device-exemption-hde-submissions,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2652,"Notice to manufacturers and notified bodies to ensure timely compliance with MDR and IVDR requirements",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/notice-to-manufacturers-and-notified-bodies-to-ensure-timely-compliance-with-mdr-and-ivdr-requirements/,,,,,,,,default,Europe,"European Commission",20231101,"Medical Device",Regulatory,https://health.ec.europa.eu/system/files/2023-11/mdcg_2022-11_en.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,notice-to-manufacturers-and-notified-bodies-to-ensure-timely-compliance-with-mdr-and-ivdr-requirements,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2653,"Pharmaceuticals and Medical Devices Safety Information No. 405 November 2023",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/pharmaceuticals-and-medical-devices-safety-information-no-405-november-2023/,,,,,,,,default,Japan,"Pharmaceuticals and Medical Devices Agency",20231101,Drug,Safety,https://www.pmda.go.jp/files/000265346.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,pharmaceuticals-and-medical-devices-safety-information-no-405-november-2023,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2654,"Guideline for facilitated registration pathway",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/guideline-for-facilitated-registration-pathway/,,,,,,,,default,Malaysia,"National Pharmaceutical Regulatory Agency",20231101,Drug,Regulatory,https://npra.gov.my/easyarticles/images/users/1047/Direktif/Lampiran-A_FRP-Guidelines_Revision-1_2023.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,guideline-for-facilitated-registration-pathway,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2655,"Guidance for consultation on clinical evaluation",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/guidance-for-consultation-on-clinical-evaluation/,,,,,,,,default,Singapore,"Health Sciences Authority",20231101,"Medical Device",Clinical,https://www.hsa.gov.sg/docs/default-source/hprg-mdb/regulatory-updates/for-consultation—gn-20-guidance-on-clinical-evaluation-(2023-nov).pdf,publish,1,sagefrog,jillf@sagefrog.com,,,guidance-for-consultation-on-clinical-evaluation,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2656,"Valproate: review of safety data and expert advice on management of risks",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/valproate-review-of-safety-data-and-expert-advice-on-management-of-risks/,,,,,,,,default,UK,"Medicines and Healthcare products Regulatory Agency",20231101,Drug,Safety,https://assets.publishing.service.gov.uk/media/65660310312f400013e5d508/Valproate-report-review-and-expert-advice.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,valproate-review-of-safety-data-and-expert-advice-on-management-of-risks,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2657,"Real-Time Oncology Review (RTOR)",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/real-time-oncology-review-rtor/,,,,,,,,default,USA,"Food and Drug Administration",20231101,Drug,Regulatory,https://www.fda.gov/media/173641/download,publish,1,sagefrog,jillf@sagefrog.com,,,real-time-oncology-review-rtor,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2658,"Submitting Clinical Trial Datasets and Documentation for Clinical Outcome Assessments Using Item Response Theory",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/submitting-clinical-trial-datasets-and-documentation-for-clinical-outcome-assessments-using-item-response-theory/,,,,,,,,default,USA,"Food and Drug Administration",20231101,Drug,Clinical,https://www.fda.gov/media/173587/download,publish,1,sagefrog,jillf@sagefrog.com,,,submitting-clinical-trial-datasets-and-documentation-for-clinical-outcome-assessments-using-item-response-theory,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2659,"Submitting Patient Reported Outcome Data in Cancer Clinical Trials",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/submitting-patient-reported-outcome-data-in-cancer-clinical-trials/,,,,,,,,default,USA,"Food and Drug Administration",20231101,Drug,Clinical,https://www.fda.gov/media/173581/download,publish,1,sagefrog,jillf@sagefrog.com,,,submitting-patient-reported-outcome-data-in-cancer-clinical-trials,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2660,"Landmark listing of first three countries as WHO-Listed regulatory Authorities",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/landmark-listing-of-first-three-countries-as-who-listed-regulatory-authorities/,,,,,,,,default,International,"World Health Organization",20231031,Drug,Regulatory,https://www.who.int/news/item/31-10-2023-landmark-listing-of-first-three-countries-as-who-listed-regulatory-authorities,publish,1,sagefrog,jillf@sagefrog.com,,,landmark-listing-of-first-three-countries-as-who-listed-regulatory-authorities,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2661,"Treatment with isotretinoin for patients under 18 must be approved by two prescribers, under new MHRA rules",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/treatment-with-isotretinoin-for-patients-under-18-must-be-approved-by-two-prescribers-under-new-mhra-rules/,,,,,,,,default,UK,"Medicines and Healthcare products Regulatory Agency",20231031,Drug,Regulatory,https://www.gov.uk/government/news/treatment-with-isotretinoin-for-patients-under-18-must-be-approved-by-two-prescribers-under-new-mhra-rules,publish,1,sagefrog,jillf@sagefrog.com,,,treatment-with-isotretinoin-for-patients-under-18-must-be-approved-by-two-prescribers-under-new-mhra-rules,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2662,"Questions and answers on data requirements when transitioning to low global warming potential (LGWP) propellants in oral pressurised metered dose inhalers",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/questions-and-answers-on-data-requirements-when-transitioning-to-low-global-warming-potential-lgwp-propellants-in-oral-pressurised-metered-dose-inhalers/,,,,,,,,default,Europe,"European Medicines Agency",20231030,"Medical Device",Regulatory,https://www.ema.europa.eu/en/documents/scientific-guideline/questions-and-answers-data-requirements-when-transitioning-low-global-warming-potential-lgwp-propellants-oral-pressurised-metered-dose-inhalers_en.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,questions-and-answers-on-data-requirements-when-transitioning-to-low-global-warming-potential-lgwp-propellants-in-oral-pressurised-metered-dose-inhalers,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2663,"Meeting highlights from the Pharmacovigilance Risk Assessment Committee (PRAC)",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/meeting-highlights-from-the-pharmacovigilance-risk-assessment-committee-prac/,,,,,,,,default,Europe,"European Medicines Agency",20231027,Drug,Pharmacovigilance,https://www.ema.europa.eu/en/news/meeting-highlights-pharmacovigilance-risk-assessment-committee-prac-23-26-october-2023,publish,1,sagefrog,jillf@sagefrog.com,,,meeting-highlights-from-the-pharmacovigilance-risk-assessment-committee-prac,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2664,"Good Machine Learning Practice for Medical Device Development: Guiding Principles",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/good-machine-learning-practice-for-medical-device-development-guiding-principles/,,,,,,,,default,USA,"Food and Drug Administration",20231027,"Medical Device",Regulatory,https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles,publish,1,sagefrog,jillf@sagefrog.com,,,good-machine-learning-practice-for-medical-device-development-guiding-principles,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2665,"EMA takes further steps to address critical shortages of medicines in the EU",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/ema-takes-further-steps-to-address-critical-shortages-of-medicines-in-the-eu/,,,,,,,,default,Europe,"European Medicines Agency",20231024,Drug,Regulatory,https://www.ema.europa.eu/en/news/ema-takes-further-steps-address-critical-shortages-medicines-eu,publish,1,sagefrog,jillf@sagefrog.com,,,ema-takes-further-steps-to-address-critical-shortages-of-medicines-in-the-eu,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2666,"Predetermined Change Control Plans for Machine Learning-Enabled Medical Devices: Guiding Principles",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/predetermined-change-control-plans-for-machine-learning-enabled-medical-devices-guiding-principles/,,,,,,,,default,USA,"Food and Drug Administration",20231024,"Medical Device",Regulatory,https://www.fda.gov/medical-devices/software-medical-device-samd/predetermined-change-control-plans-machine-learning-enabled-medical-devices-guiding-principles,publish,1,sagefrog,jillf@sagefrog.com,,,predetermined-change-control-plans-for-machine-learning-enabled-medical-devices-guiding-principles,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2667,"Amending Regulation (EU) 2017/745 of the European Parliament and of the Council, as regards the assignment of Unique Device Identifiers for contact lenses",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/amending-regulation-eu-2017-745-of-the-european-parliament-and-of-the-council-as-regards-the-assignment-of-unique-device-identifiers-for-contact-lenses/,,,,,,,,default,Europe,"European Commission",20231020,"Medical Device",Regulatory,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202302197,publish,1,sagefrog,jillf@sagefrog.com,,,amending-regulation-eu-2017-745-of-the-european-parliament-and-of-the-council-as-regards-the-assignment-of-unique-device-identifiers-for-contact-lenses,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2668,"Communications From Firms to Health Care Providers Regarding Scientific Information on Unapproved Uses of Approved/Cleared Medical Products Questions and Answers (draft guidance)",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/communications-from-firms-to-health-care-providers-regarding-scientific-information-on-unapproved-uses-of-approved-cleared-medical-products-questions-and-answers-draft-guidance/,,,,,,,,default,USA,"Food and Drug Administration",20231019,Drug,Regulatory,https://www.fda.gov/media/173172/download,publish,1,sagefrog,jillf@sagefrog.com,,,communications-from-firms-to-health-care-providers-regarding-scientific-information-on-unapproved-uses-of-approved-cleared-medical-products-questions-and-answers-draft-guidance,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2669,"Enforcement Policy for Non-Invasive Remote Monitoring Devices Used to Support Patient Monitoring",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/enforcement-policy-for-non-invasive-remote-monitoring-devices-used-to-support-patient-monitoring/,,,,,,,,default,USA,"Food and Drug Administration",20231019,"Medical Device",Regulatory,https://www.fda.gov/media/136290/download,publish,1,sagefrog,jillf@sagefrog.com,,,enforcement-policy-for-non-invasive-remote-monitoring-devices-used-to-support-patient-monitoring,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2670,"Team-NB asks manufacturers of class D devices to submit IVDR filings",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/team-nb-asks-manufacturers-of-class-d-devices-to-submit-ivdr-filings/,,,,,,,,default,Europe,"European Medicines Agency",20231018,"Medical Device",Regulatory,https://www.team-nb.org/wp-content/uploads/2023/10/Team-NB-PressRelease-Capacity-NotifiedBodies-during-transition-IVDR-MDR-October2023.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,team-nb-asks-manufacturers-of-class-d-devices-to-submit-ivdr-filings,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2671,"Guideline on the Development and Manufacture of Synthetic Peptides",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/guideline-on-the-development-and-manufacture-of-synthetic-peptides/,,,,,,,,default,Europe,"European Medicines Agency",20231012,Drug,Regulatory,https://www.ema.europa.eu/en/documents/scientific-guideline/draft-guideline-development-and-manufacture-synthetic-peptides_en.pdf,publish,1,sagefrog,jillf@sagefrog.com,,,guideline-on-the-development-and-manufacture-of-synthetic-peptides,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2672,"Regulation of all Class C & D medical devices",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/regulation-of-all-class-c-d-medical-devices/,,,,,,,,default,India,"Central Drugs Standard Control Organisation",20231012,"Medical Device",Regulatory,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTA1NzM=,publish,1,sagefrog,jillf@sagefrog.com,,,regulation-of-all-class-c-d-medical-devices,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2673,"New streamlined notification scheme for lowest-risk clinical trials marks start of MHRA overhaul of regulation",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/new-streamlined-notification-scheme-for-lowest-risk-clinical-trials-marks-start-of-mhra-overhaul-of-regulation/,,,,,,,,default,UK,"Medicines and Healthcare products Regulatory Agency",20231012,Drug,Clinical,https://www.gov.uk/government/news/new-streamlined-notification-scheme-for-lowest-risk-clinical-trials-marks-start-of-mhra-overhaul-of-regulation,publish,1,sagefrog,jillf@sagefrog.com,,,new-streamlined-notification-scheme-for-lowest-risk-clinical-trials-marks-start-of-mhra-overhaul-of-regulation,,default,0,0,0,open,open,"2024-06-27 16:11:52"
2674,"Testing and Labeling Medical Devices for Safety in the Magnetic Resonance (MR) Environment",,,"2024-06-27 16:11:52",regulatory,https://clinch.loc/regulatory/testing-and-labeling-medical-devices-for-safety-in-the-magnetic-resonance-mr-environment/,,,,,,,,default,USA,"Food and Drug Administration",20231010,"Medical Device",Regulatory,https://www.fda.gov/media/74201/download,publish,1,sagefrog,jillf@sagefrog.com,,,testing-and-labeling-medical-devices-for-safety-in-the-magnetic-resonance-mr-environment,,default,0,0,0,open,open,"2024-06-27 16:11:52"
